종목코드,종목명,시장구분,종가,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
17650,대림제지,KOSDAQ,8820,8790,8850,8740,9147,80508620,79380000000,9000000
6570,대림통상,KOSPI,3265,3300,3300,3260,3776,12347285,49709625000,15225000
7720,대명소노시즌,KOSDAQ,715,709,722,709,139510,99951250,72072321750,100800450
389260,대명에너지,KOSDAQ,23800,23300,24050,23200,79669,1886377050,405790000000,17050000
317850,대모,KOSDAQ,12980,13200,13370,12880,812578,10683745510,108050971600,8324420
290670,대보마그네틱,KOSDAQ,60000,59300,61000,58500,67079,4031659000,471459600000,7857660
78140,대봉엘에스,KOSDAQ,7810,7790,7850,7720,2064,16082540,86586181990,11086579
1680,대상,KOSPI,18990,19010,19070,18960,33875,643371600,657965994750,34648025
1685,대상우,KOSPI,15030,15030,15120,15000,1048,15747670,20594451690,1370223
84690,대상홀딩스,KOSPI,7310,7270,7330,7270,9331,68106420,264713652780,36212538
84695,대상홀딩스우,KOSPI,8950,8960,9050,8810,1513,13411590,8175663900,913482
36480,대성미생물,KOSDAQ,14900,14670,16130,14630,972494,14979252090,56620000000,3800000
128820,대성산업,KOSPI,4230,4190,4265,4155,66642,280952350,191346071940,45235478
117580,대성에너지,KOSPI,8760,8620,8850,8550,307923,2686000190,240900000000,27500000
27830,대성창투,KOSDAQ,1929,1915,1938,1911,27239,52569708,77160000000,40000000
104040,대성파인텍,KOSDAQ,1633,1593,1640,1593,123087,199040478,51114991873,31301281
129920,대성하이텍,KOSDAQ,9950,9500,10050,9450,308894,3050141430,136464777350,13715053
16710,대성홀딩스,KOSPI,22350,22400,22600,21900,144743,3227270050,359599408650,16089459
